model,term,estimate,std_error,t_value,p_value
m1_core_local,dlog_mw_core_local,0.0016616326690466507,0.008748566333697902,0.1899319963599454,0.8668928647425066
m1_core_local,dlog_cpi_all_us,-0.0472421162348316,0.06713027109052537,-0.7037379034433731,0.5544933730623891
m2_treated_dummy,treated_core,1.574710738757777e-4,4.4218879305415294e-4,0.3561172882472689,0.7558100766503576
m2_treated_dummy,dlog_cpi_all_us,-0.0477197502115583,0.06748323502755446,-0.7071348934601842,0.5527721808593062
m3_dynamic,lead_dlog_mw_core,-0.011992339190862213,0.008282158355062312,-1.4479726994753876,0.28460274175737044
m3_dynamic,dlog_mw_core_local,4.241987397386975e-4,0.008335643728733336,0.05088973971817744,0.9640387951930818
m3_dynamic,lag_dlog_mw_core,-0.013338568863963816,0.004989308193741081,-2.6734305330539816,0.11605735848411407
m3_dynamic,dlog_cpi_all_us,-0.04970667186200163,0.06820177185154898,-0.7288178959660373,0.5419025262153301
m4_multistate_avg,dlog_mw_multistate,0.0020108750378275064,0.007563932550869307,0.26585047186815547,0.815251334121762
m4_multistate_avg,dlog_cpi_all_us,-0.04693066108692861,0.06746054378782608,-0.6956757009628154,0.5585981733219841
m5_yearmonth_fe,dlog_mw_core_local,0.004825402906743328,0.009000256740106943,0.5361405842169333,0.6455106524489287
